Num;Group;Part;Axe;JM;Calculation;Feature
1;Accelerometer;Body;X;;mean;tBodyAcc-mean()-X
2;Accelerometer;Body;Y;;mean;tBodyAcc-mean()-Y
3;Accelerometer;Body;Z;;mean;tBodyAcc-mean()-Z
4;Accelerometer;Body;X;;std;tBodyAcc-std()-X
5;Accelerometer;Body;Y;;std;tBodyAcc-std()-Y
6;Accelerometer;Body;Z;;std;tBodyAcc-std()-Z
7;Accelerometer;Body;X;;mad;tBodyAcc-mad()-X
8;Accelerometer;Body;Y;;mad;tBodyAcc-mad()-Y
9;Accelerometer;Body;Z;;mad;tBodyAcc-mad()-Z
10;Accelerometer;Body;X;;max;tBodyAcc-max()-X
11;Accelerometer;Body;Y;;max;tBodyAcc-max()-Y
12;Accelerometer;Body;Z;;max;tBodyAcc-max()-Z
13;Accelerometer;Body;X;;min;tBodyAcc-min()-X
14;Accelerometer;Body;Y;;min;tBodyAcc-min()-Y
15;Accelerometer;Body;Z;;min;tBodyAcc-min()-Z
16;Accelerometer;Body;;;sma;tBodyAcc-sma()
17;Accelerometer;Body;X;;energy;tBodyAcc-energy()-X
18;Accelerometer;Body;Y;;energy;tBodyAcc-energy()-Y
19;Accelerometer;Body;Z;;energy;tBodyAcc-energy()-Z
20;Accelerometer;Body;X;;iqr;tBodyAcc-iqr()-X
21;Accelerometer;Body;Y;;iqr;tBodyAcc-iqr()-Y
22;Accelerometer;Body;Z;;iqr;tBodyAcc-iqr()-Z
23;Accelerometer;Body;X;;entropy;tBodyAcc-entropy()-X
24;Accelerometer;Body;Y;;entropy;tBodyAcc-entropy()-Y
25;Accelerometer;Body;Z;;entropy;tBodyAcc-entropy()-Z
26;Accelerometer;Body;X;;arCoeff;tBodyAcc-arCoeff-X,1
27;Accelerometer;Body;X;;arCoeff;tBodyAcc-arCoeff-X,2
28;Accelerometer;Body;X;;arCoeff;tBodyAcc-arCoeff-X,3
29;Accelerometer;Body;X;;arCoeff;tBodyAcc-arCoeff-X,4
30;Accelerometer;Body;Y;;arCoeff;tBodyAcc-arCoeff-Y,1
31;Accelerometer;Body;Y;;arCoeff;tBodyAcc-arCoeff-Y,2
32;Accelerometer;Body;Y;;arCoeff;tBodyAcc-arCoeff-Y,3
33;Accelerometer;Body;Y;;arCoeff;tBodyAcc-arCoeff-Y,4
34;Accelerometer;Body;Z;;arCoeff;tBodyAcc-arCoeff-Z,1
35;Accelerometer;Body;Z;;arCoeff;tBodyAcc-arCoeff-Z,2
36;Accelerometer;Body;Z;;arCoeff;tBodyAcc-arCoeff-Z,3
37;Accelerometer;Body;Z;;arCoeff;tBodyAcc-arCoeff-Z,4
38;Accelerometer;Body;XY;;correlation;tBodyAcc-correlation()-X,Y
39;Accelerometer;Body;XZ;;correlation;tBodyAcc-correlation()-X,Z
40;Accelerometer;Body;YZ;;correlation;tBodyAcc-correlation()-Y,Z
41;Accelerometer;Gravity;X;;mean;tGravityAcc-mean()-X
42;Accelerometer;Gravity;Y;;mean;tGravityAcc-mean()-Y
43;Accelerometer;Gravity;Z;;mean;tGravityAcc-mean()-Z
44;Accelerometer;Gravity;X;;std;tGravityAcc-std()-X
45;Accelerometer;Gravity;Y;;std;tGravityAcc-std()-Y
46;Accelerometer;Gravity;Z;;std;tGravityAcc-std()-Z
47;Accelerometer;Gravity;X;;mad;tGravityAcc-mad()-X
48;Accelerometer;Gravity;Y;;mad;tGravityAcc-mad()-Y
49;Accelerometer;Gravity;Z;;mad;tGravityAcc-mad()-Z
50;Accelerometer;Gravity;X;;max;tGravityAcc-max()-X
51;Accelerometer;Gravity;Y;;max;tGravityAcc-max()-Y
52;Accelerometer;Gravity;Z;;max;tGravityAcc-max()-Z
53;Accelerometer;Gravity;X;;min;tGravityAcc-min()-X
54;Accelerometer;Gravity;Y;;min;tGravityAcc-min()-Y
55;Accelerometer;Gravity;Z;;min;tGravityAcc-min()-Z
56;Accelerometer;Gravity;;;sma;tGravityAcc-sma()
57;Accelerometer;Gravity;X;;energy;tGravityAcc-energy()-X
58;Accelerometer;Gravity;Y;;energy;tGravityAcc-energy()-Y
59;Accelerometer;Gravity;Z;;energy;tGravityAcc-energy()-Z
60;Accelerometer;Gravity;X;;iqr;tGravityAcc-iqr()-X
61;Accelerometer;Gravity;Y;;iqr;tGravityAcc-iqr()-Y
62;Accelerometer;Gravity;Z;;iqr;tGravityAcc-iqr()-Z
63;Accelerometer;Gravity;X;;entropy;tGravityAcc-entropy()-X
64;Accelerometer;Gravity;Y;;entropy;tGravityAcc-entropy()-Y
65;Accelerometer;Gravity;Z;;entropy;tGravityAcc-entropy()-Z
66;Accelerometer;Gravity;X;;arCoeff;tGravityAcc-arCoeff-X,1
67;Accelerometer;Gravity;X;;arCoeff;tGravityAcc-arCoeff-X,2
68;Accelerometer;Gravity;X;;arCoeff;tGravityAcc-arCoeff-X,3
69;Accelerometer;Gravity;X;;arCoeff;tGravityAcc-arCoeff-X,4
70;Accelerometer;Gravity;Y;;arCoeff;tGravityAcc-arCoeff-Y,1
71;Accelerometer;Gravity;Y;;arCoeff;tGravityAcc-arCoeff-Y,2
72;Accelerometer;Gravity;Y;;arCoeff;tGravityAcc-arCoeff-Y,3
73;Accelerometer;Gravity;Y;;arCoeff;tGravityAcc-arCoeff-Y,4
74;Accelerometer;Gravity;Z;;arCoeff;tGravityAcc-arCoeff-Z,1
75;Accelerometer;Gravity;Z;;arCoeff;tGravityAcc-arCoeff-Z,2
76;Accelerometer;Gravity;Z;;arCoeff;tGravityAcc-arCoeff-Z,3
77;Accelerometer;Gravity;Z;;arCoeff;tGravityAcc-arCoeff-Z,4
78;Accelerometer;Gravity;XY;;correlation;tGravityAcc-correlation()-X,Y
79;Accelerometer;Gravity;XZ;;correlation;tGravityAcc-correlation()-X,Z
80;Accelerometer;Gravity;YZ;;correlation;tGravityAcc-correlation()-Y,Z
81;Accelerometer;Body;X;Jerk;mean;tBodyAccJerk-mean()-X
82;Accelerometer;Body;Y;Jerk;mean;tBodyAccJerk-mean()-Y
83;Accelerometer;Body;Z;Jerk;mean;tBodyAccJerk-mean()-Z
84;Accelerometer;Body;X;Jerk;std;tBodyAccJerk-std()-X
85;Accelerometer;Body;Y;Jerk;std;tBodyAccJerk-std()-Y
86;Accelerometer;Body;Z;Jerk;std;tBodyAccJerk-std()-Z
87;Accelerometer;Body;X;Jerk;mad;tBodyAccJerk-mad()-X
88;Accelerometer;Body;Y;Jerk;mad;tBodyAccJerk-mad()-Y
89;Accelerometer;Body;Z;Jerk;mad;tBodyAccJerk-mad()-Z
90;Accelerometer;Body;X;Jerk;max;tBodyAccJerk-max()-X
91;Accelerometer;Body;Y;Jerk;max;tBodyAccJerk-max()-Y
92;Accelerometer;Body;Z;Jerk;max;tBodyAccJerk-max()-Z
93;Accelerometer;Body;X;Jerk;min;tBodyAccJerk-min()-X
94;Accelerometer;Body;Y;Jerk;min;tBodyAccJerk-min()-Y
95;Accelerometer;Body;Z;Jerk;min;tBodyAccJerk-min()-Z
96;Accelerometer;Body;;Jerk;sma;tBodyAccJerk-sma()
97;Accelerometer;Body;X;Jerk;energy;tBodyAccJerk-energy()-X
98;Accelerometer;Body;Y;Jerk;energy;tBodyAccJerk-energy()-Y
99;Accelerometer;Body;Z;Jerk;energy;tBodyAccJerk-energy()-Z
100;Accelerometer;Body;X;Jerk;iqr;tBodyAccJerk-iqr()-X
101;Accelerometer;Body;Y;Jerk;iqr;tBodyAccJerk-iqr()-Y
102;Accelerometer;Body;Z;Jerk;iqr;tBodyAccJerk-iqr()-Z
103;Accelerometer;Body;X;Jerk;entropy;tBodyAccJerk-entropy()-X
104;Accelerometer;Body;Y;Jerk;entropy;tBodyAccJerk-entropy()-Y
105;Accelerometer;Body;Z;Jerk;entropy;tBodyAccJerk-entropy()-Z
106;Accelerometer;Body;X;Jerk;arCoeff;tBodyAccJerk-arCoeff-X,1
107;Accelerometer;Body;X;Jerk;arCoeff;tBodyAccJerk-arCoeff-X,2
108;Accelerometer;Body;X;Jerk;arCoeff;tBodyAccJerk-arCoeff-X,3
109;Accelerometer;Body;X;Jerk;arCoeff;tBodyAccJerk-arCoeff-X,4
110;Accelerometer;Body;Y;Jerk;arCoeff;tBodyAccJerk-arCoeff-Y,1
111;Accelerometer;Body;Y;Jerk;arCoeff;tBodyAccJerk-arCoeff-Y,2
112;Accelerometer;Body;Y;Jerk;arCoeff;tBodyAccJerk-arCoeff-Y,3
113;Accelerometer;Body;Y;Jerk;arCoeff;tBodyAccJerk-arCoeff-Y,4
114;Accelerometer;Body;Z;Jerk;arCoeff;tBodyAccJerk-arCoeff-Z,1
115;Accelerometer;Body;Z;Jerk;arCoeff;tBodyAccJerk-arCoeff-Z,2
116;Accelerometer;Body;Z;Jerk;arCoeff;tBodyAccJerk-arCoeff-Z,3
117;Accelerometer;Body;Z;Jerk;arCoeff;tBodyAccJerk-arCoeff-Z,4
118;Accelerometer;Body;XY;Jerk;correlation;tBodyAccJerk-correlation()-X,Y
119;Accelerometer;Body;XZ;Jerk;correlation;tBodyAccJerk-correlation()-X,Z
120;Accelerometer;Body;YZ;Jerk;correlation;tBodyAccJerk-correlation()-Y,Z
121;Gyroscope;Body;X;;mean;tBodyGyro-mean()-X
122;Gyroscope;Body;Y;;mean;tBodyGyro-mean()-Y
123;Gyroscope;Body;Z;;mean;tBodyGyro-mean()-Z
124;Gyroscope;Body;X;;std;tBodyGyro-std()-X
125;Gyroscope;Body;Y;;std;tBodyGyro-std()-Y
126;Gyroscope;Body;Z;;std;tBodyGyro-std()-Z
127;Gyroscope;Body;X;;mad;tBodyGyro-mad()-X
128;Gyroscope;Body;Y;;mad;tBodyGyro-mad()-Y
129;Gyroscope;Body;Z;;mad;tBodyGyro-mad()-Z
130;Gyroscope;Body;X;;max;tBodyGyro-max()-X
131;Gyroscope;Body;Y;;max;tBodyGyro-max()-Y
132;Gyroscope;Body;Z;;max;tBodyGyro-max()-Z
133;Gyroscope;Body;X;;min;tBodyGyro-min()-X
134;Gyroscope;Body;Y;;min;tBodyGyro-min()-Y
135;Gyroscope;Body;Z;;min;tBodyGyro-min()-Z
136;Gyroscope;Body;;;sma;tBodyGyro-sma()
137;Gyroscope;Body;X;;energy;tBodyGyro-energy()-X
138;Gyroscope;Body;Y;;energy;tBodyGyro-energy()-Y
139;Gyroscope;Body;Z;;energy;tBodyGyro-energy()-Z
140;Gyroscope;Body;X;;iqr;tBodyGyro-iqr()-X
141;Gyroscope;Body;Y;;iqr;tBodyGyro-iqr()-Y
142;Gyroscope;Body;Z;;iqr;tBodyGyro-iqr()-Z
143;Gyroscope;Body;X;;entropy;tBodyGyro-entropy()-X
144;Gyroscope;Body;Y;;entropy;tBodyGyro-entropy()-Y
145;Gyroscope;Body;Z;;entropy;tBodyGyro-entropy()-Z
146;Gyroscope;Body;X;;arCoeff;tBodyGyro-arCoeff-X,1
